recommendation_type,entity_type,entity_id,route_name,source,destination,booking_count,seats_booked,total_revenue,priority,recommendation,business_reason
Route Monitoring,Route,R001,Pondicherry To Chennai,Pondicherry,Chennai,596,1188,1333530.35,LOW,Continue monitoring booking trends and maintain current capacity.,Route demand is within the normal range.
Route Monitoring,Route,R002,Thanjavur To Coimbatore,Thanjavur,Coimbatore,578,1373,1441823.62,LOW,Continue monitoring booking trends and maintain current capacity.,Route demand is within the normal range.
Route Demand Stimulation,Route,R003,Pondicherry To Erode,Pondicherry,Erode,327,638,1031084.4,MEDIUM,Use targeted promotions and review trip frequency.,Route booking demand is in the lowest demand quartile.
Route Monitoring,Route,R004,Bengaluru To Madurai,Bengaluru,Madurai,575,1405,1991413.33,LOW,Continue monitoring booking trends and maintain current capacity.,Route demand is within the normal range.
Route Capacity Expansion,Route,R005,Bengaluru To Trichy,Bengaluru,Trichy,626,1345,1534763.23,HIGH,Increase trip frequency or seat capacity on this route.,Route booking demand is in the top demand quartile.
Route Demand Stimulation,Route,R006,Trichy To Salem,Trichy,Salem,402,727,478375.19,MEDIUM,Use targeted promotions and review trip frequency.,Route booking demand is in the lowest demand quartile.
Route Demand Stimulation,Route,R007,Madurai To Erode,Madurai,Erode,395,893,1849284.85,MEDIUM,Use targeted promotions and review trip frequency.,Route booking demand is in the lowest demand quartile.
Route Capacity Expansion,Route,R008,Bengaluru To Erode,Bengaluru,Erode,838,1918,1661850.35,HIGH,Increase trip frequency or seat capacity on this route.,Route booking demand is in the top demand quartile.
Route Monitoring,Route,R009,Chennai To Vellore,Chennai,Vellore,513,1113,1050953.54,LOW,Continue monitoring booking trends and maintain current capacity.,Route demand is within the normal range.
Route Capacity Expansion,Route,R010,Hyderabad To Madurai,Hyderabad,Madurai,830,1700,1397250.92,HIGH,Increase trip frequency or seat capacity on this route.,Route booking demand is in the top demand quartile.
Route Capacity Expansion,Route,R011,Bengaluru To Thanjavur,Bengaluru,Thanjavur,689,1474,2500687.69,HIGH,Increase trip frequency or seat capacity on this route.,Route booking demand is in the top demand quartile.
Route Demand Stimulation,Route,R012,Hyderabad To Pondicherry,Hyderabad,Pondicherry,292,688,682215.83,MEDIUM,Use targeted promotions and review trip frequency.,Route booking demand is in the lowest demand quartile.
Route Monitoring,Route,R013,Hyderabad To Erode,Hyderabad,Erode,485,1176,501839.2,LOW,Continue monitoring booking trends and maintain current capacity.,Route demand is within the normal range.
Route Monitoring,Route,R014,Coimbatore To Chennai,Coimbatore,Chennai,619,1316,818615.01,LOW,Continue monitoring booking trends and maintain current capacity.,Route demand is within the normal range.
Route Capacity Expansion,Route,R015,Tirunelveli To Coimbatore,Tirunelveli,Coimbatore,880,2058,875165.47,HIGH,Increase trip frequency or seat capacity on this route.,Route booking demand is in the top demand quartile.
Route Monitoring,Route,R016,Pondicherry To Tirunelveli,Pondicherry,Tirunelveli,504,974,1386118.14,LOW,Continue monitoring booking trends and maintain current capacity.,Route demand is within the normal range.
Route Monitoring,Route,R017,Coimbatore To Tirunelveli,Coimbatore,Tirunelveli,601,1293,842114.37,LOW,Continue monitoring booking trends and maintain current capacity.,Route demand is within the normal range.
Route Monitoring,Route,R018,Trichy To Erode,Trichy,Erode,470,1120,1511854.15,LOW,Continue monitoring booking trends and maintain current capacity.,Route demand is within the normal range.
Route Demand Stimulation,Route,R019,Thanjavur To Hyderabad,Thanjavur,Hyderabad,391,772,779101.2,MEDIUM,Use targeted promotions and review trip frequency.,Route booking demand is in the lowest demand quartile.
Route Demand Stimulation,Route,R020,Trichy To Thanjavur,Trichy,Thanjavur,293,575,763647.55,MEDIUM,Use targeted promotions and review trip frequency.,Route booking demand is in the lowest demand quartile.
Route Monitoring,Route,R021,Thanjavur To Trichy,Thanjavur,Trichy,452,1036,371637.11,LOW,Continue monitoring booking trends and maintain current capacity.,Route demand is within the normal range.
Route Demand Stimulation,Route,R022,Bengaluru To Chennai,Bengaluru,Chennai,350,738,601360.27,MEDIUM,Use targeted promotions and review trip frequency.,Route booking demand is in the lowest demand quartile.
Route Demand Stimulation,Route,R023,Erode To Bengaluru,Erode,Bengaluru,434,941,874626.43,MEDIUM,Use targeted promotions and review trip frequency.,Route booking demand is in the lowest demand quartile.
Route Monitoring,Route,R024,Madurai To Thanjavur,Madurai,Thanjavur,440,681,979928.41,LOW,Continue monitoring booking trends and maintain current capacity.,Route demand is within the normal range.
Route Monitoring,Route,R025,Vellore To Bengaluru,Vellore,Bengaluru,519,1155,1291005.14,LOW,Continue monitoring booking trends and maintain current capacity.,Route demand is within the normal range.
Route Capacity Expansion,Route,R026,Vellore To Pondicherry,Vellore,Pondicherry,674,1461,2635760.66,HIGH,Increase trip frequency or seat capacity on this route.,Route booking demand is in the top demand quartile.
Route Capacity Expansion,Route,R027,Tirunelveli To Madurai,Tirunelveli,Madurai,864,1781,2206095.71,HIGH,Increase trip frequency or seat capacity on this route.,Route booking demand is in the top demand quartile.
Route Monitoring,Route,R028,Bengaluru To Coimbatore,Bengaluru,Coimbatore,509,1130,968527.6,LOW,Continue monitoring booking trends and maintain current capacity.,Route demand is within the normal range.
Route Monitoring,Route,R029,Chennai To Coimbatore,Chennai,Coimbatore,459,879,402260.1,LOW,Continue monitoring booking trends and maintain current capacity.,Route demand is within the normal range.
Route Capacity Expansion,Route,R030,Thanjavur To Pondicherry,Thanjavur,Pondicherry,729,1418,581798.45,HIGH,Increase trip frequency or seat capacity on this route.,Route booking demand is in the top demand quartile.
